Stagione,Squadra,Da,A,Pen
1947-48,NAPOLI,04/07/1948,04/07/1948,34
1959-60,GENOA,05/06/1960,05/06/1960,18
1973-74,SAMPDORIA,07/10/1973,19/05/1974,3
1973-74,FOGGIA,19/05/1974,19/05/1974,6
1973-74,VERONA,19/05/1974,19/05/1974,25
1976-77,NAPOLI,22/05/1977,22/05/1977,1
1979-80,MILAN,11/05/1980,11/05/1980,36
1979-80,LAZIO,11/05/1980,11/05/1980,25
1980-81,BOLOGNA,14/09/1980,24/05/1981,5
1980-81,AVELLINO,14/09/1980,24/05/1981,5
1980-81,PERUGIA,14/09/1980,24/05/1981,5
1986-87,UDINESE,14/09/1986,17/05/1987,9
1987-88,EMPOLI,13/09/1987,15/05/1988,5
1998-99,EMPOLI,29/11/1998,23/05/1999,2
2005-06,MILAN,14/05/2006,14/05/2006,30
2005-06,LAZIO,14/05/2006,14/05/2006,30
2005-06,FIORENTINA,14/05/2006,14/05/2006,30
2005-06,JUVENTUS,14/05/2006,14/05/2006,91
2006-07,MILAN,10/09/2006,27/05/2007,8
2006-07,LAZIO,10/09/2006,25/10/2006,11
2006-07,FIORENTINA,10/09/2006,25/10/2006,19
2006-07,REGGINA,10/09/2006,09/12/2006,15
2006-07,LAZIO,29/10/2006,27/05/2007,3
2006-07,FIORENTINA,29/10/2006,27/05/2007,15
2006-07,REGGINA,17/12/2006,27/05/2007,11
2006-07,SIENA,22/10/2006,27/05/2007,1
2010-11,BOLOGNA,05/12/2010,09/01/2011,1
2010-11,BOLOGNA,15/01/2011,22/05/2011,3
2011-12,ATALANTA,11/09/2011,13/05/2012,6
2012-13,SIENA,26/08/2012,19/05/2013,6
2012-13,ATALANTA,26/08/2012,19/05/2013,2
2012-13,TORINO,26/08/2012,19/05/2013,1
2012-13,SAMPDORIA,26/08/2012,19/05/2013,1
2014-15,PARMA,14/12/2014,08/03/2015,1
2014-15,PARMA,15/03/2015,15/04/2015,3
2014-15,PARMA,19/04/2015,31/05/2015,7
2018-19,CHIEVO,16/09/2018,25/05/2019,3
2020-21,NAPOLI,14/10/2020,21/12/2020,1
2022-23,JUVENTUS,20/01/2023,29/05/2023,15
2022-23,JUVENTUS,30/05/2023,05/06/2023,10
